word,frequency
game,2532
works,1055
runs,916
perfectly,644
issues,529
fine,524
work,521
screen,504
launch,478
proton,473
crashes,415
start,405
box,405
mouse,381
windows,370
run,366
settings,346
performance,338
without,314
fps,304
command,303
steam,301
issue,300
options,282
great,280
well,277
menu,276
play,276
black,276
resolution,264
get,263
first,262
error,240
even,237
version,237
seems,227
using,224
native,222
sound,219
https,218
played,218
perfect,214
like,212
set,212
worked,211
also,211
use,208
mode,207
everything,207
audio,194
working,193
running,188
tried,180
install,178
tested,174
need,171
playable,169
problems,169
tweaks,167
crash,164
graphics,162
fix,156
otherwise,156
time,153
flawlessly,152
controller,152
video,151
option,151
file,149
still,148
loading,143
window,141
wine,141
multiplayer,140
one,139
problem,135
good,135
ran,129
change,129
could,126
starts,125
would,120
load,120
add,118
esync,114
graphical,109
main,109
playing,108
installed,108
disable,108
glitches,107
desktop,107
linux,105
however,103
bit,103
back,102
sometimes,101
high,100
used,99
new,99
protontricks,97
see,95
better,94
nothing,94
minor,93
try,93
low,93
needed,93
full,91
single,90
games,90
launcher,90
click,89
ca,88
go,87
setting,86
folder,85
fullscreen,85
make,85
wo,84
default,84
around,83
plays,82
though,82
unplayable,81
cursor,80
disabling,77
fixed,76
intro,75
map,75
open,74
manually,74
starting,74
windowed,73
frame,73
save,73
changing,72
gameplay,71
input,70
player,70
videos,69
got,69
right,68
times,68
stable,67
found,66
hours,66
may,66
lag,65
able,65
smooth,65
keyboard,64
adding,64
needs,64
following,64
little,63
nvidia,63
line,62
max,62
really,62
anything,62
flawless,61
textures,61
minutes,61
files,61
widescreen,61
music,60
display,60
missing,60
completely,59
every,59
since,59
far,59
slow,58
support,58
causes,57
system,57
except,57
hardware,57
else,57
second,57
level,56
process,56
drops,56
due,56
tweak,56
old,55
much,55
freezes,55
disabled,55
enable,54
vulkan,54
seem,54
bug,54
button,54
sure,54
versions,53
winecfg,53
config,53
might,53
winetricks,53
singleplayer,52
framerate,52
enter,52
crashed,52
startup,52
virtual,52
press,52
experience,51
software,50
beta,50
menus,50
mission,50
texture,50
fails,50
pretty,49
cutscenes,49
way,48
happens,48
loads,48
message,48
installing,48
requires,48
opengl,47
others,47
started,47
acceleration,47
two,47
rename,47
custom,46
controls,45
yet,45
resolutions,45
errors,45
turn,45
download,45
makes,45
xbox,45
campaign,44
restart,44
seconds,44
monitor,44
properly,44
lot,44
server,43
available,43
immediately,43
platinum,43
stuttering,43
must,43
broken,43
ok,43
patch,43
camera,43
via,43
often,43
prefix,43
shows,42
changed,42
instead,42
find,42
appears,41
reason,41
thing,41
test,41
trying,41
enabled,41
rate,41
correctly,41
shadows,41
console,40
fixes,40
want,40
stutter,40
noticeable,40
previous,40
mentioned,40
smoothly,40
overlay,39
show,39
left,39
long,39
launches,39
mod,39
stuck,39
move,38
small,38
directory,38
report,38
directx,38
cpu,38
making,38
online,37
bad,37
occasional,37
unable,37
freeze,37
key,37
parameter,36
effects,36
engine,36
lower,36
rendering,36
random,36
another,36
crashing,36
text,35
normal,35
actually,35
kill,35
wrong,35
moving,35
bugs,35
note,35
mods,34
installation,34
sounds,34
latest,34
going,34
setup,34
probably,34
looks,34
gamepad,34
slightly,33
look,33
either,33
visible,33
initial,33
screens,33
made,33
never,33
tutorial,33
gpu,33
physx,33
switch,32
maybe,32
weird,32
end,32
appear,32
ingame,32
call,32
next,32
expected,32
gets,32
several,32
takes,32
driver,32
alt,32
terminal,32
opening,31
drivers,31
upon,31
dxvk,31
etc,31
sensitivity,31
required,31
edit,31
memory,31
almost,31
xliveless,31
goes,30
create,30
background,30
glitch,30
stutters,30
maximum,30
failed,30
added,30
cutscene,30
graphic,30
servers,29
point,29
translation,29
port,29
workaround,29
vsync,29
think,29
renderer,29
normally,29
modern,29
occasionally,29
gold,29
exception,29
testing,29
maps,29
quality,29
recommend,28
longer,28
id,28
fatal,28
supported,28
including,28
less,28
highest,27
select,27
maxed,27
beginning,27
quite,27
control,27
cause,27
reports,27
different,27
help,27
render,27
areas,27
none,27
switching,27
things,27
getting,26
launched,26
although,26
top,26
noticed,26
seemed,26
something,26
finished,26
went,26
apply,26
configuration,26
entire,26
couple,26
tab,26
enough,26
please,26
encountered,25
happen,25
know,25
changes,25
section,25
movement,25
effect,25
splash,25
solution,25
type,25
force,25
laggy,25
order,25
character,25
many,24
rating,24
launching,24
pressing,24
absolutely,24
past,24
dark,24
dosbox,24
best,24
application,24
flickering,24
drop,24
zoom,24
modes,23
excellent,23
borked,23
quit,23
certain,23
case,23
solved,23
appid,23
properties,23
drm,23
followed,23
follow,23
detected,23
general,23
executable,23
tweaking,23
intel,23
vanilla,23
laptop,23
clicking,23
x,23
missions,23
title,22
least,22
done,22
whatsoever,22
present,22
said,22
commands,22
cut,22
aa,22
crysis,22
simply,21
exit,21
away,21
randomly,21
size,21
part,21
fully,21
ignored,21
invalid,21
update,21
previously,21
restarting,21
brightness,21
nice,21
lags,21
outside,21
framerates,21
levels,21
story,21
put,21
big,21
related,21
card,21
workarounds,21
dll,21
higher,21
stops,21
stop,21
users,21
function,21
steps,21
copy,21
punkbuster,21
says,20
remember,20
object,20
whole,20
computer,20
hard,20
movies,20
source,20
say,20
opens,20
quotes,20
unofficial,20
visual,20
resolved,20
silver,20
mp,20
xrandr,20
override,20
super,20
specific,20
anyway,20
user,20
worse,20
unless,19
close,19
near,19
already,19
entering,19
compared,19
closes,19
completed,19
method,19
enabling,19
steamos,19
large,19
library,19
guide,19
wont,19
keys,19
buggy,19
content,19
gives,19
buttons,19
necessary,19
gta,19
details,18
loaded,18
mostly,18
lighting,18
possible,18
hour,18
turning,18
let,18
soon,18
original,18
preloaded,18
aco,18
compiler,18
ever,18
bottom,18
always,18
keep,18
compatibility,18
unhandled,18
log,18
buffer,18
solve,18
saving,18
view,18
client,17
strange,17
give,17
take,17
seen,17
elf,17
class,17
fast,17
afterwards,17
messed,17
odd,17
hit,17
pure,17
helps,17
lowest,17
exactly,17
systems,17
given,17
primary,17
copied,17
area,17
scene,17
boot,17
short,17
xp,17
longest,17
link,16
solid,16
fonts,16
zero,16
generally,16
results,16
experienced,16
match,16
applying,16
space,16
cinematic,16
white,16
major,16
result,16
showing,16
hangs,16
okay,16
side,16
shadow,16
core,16
anymore,16
jogo,16
impossible,15
lots,15
access,15
displays,15
multiple,15
tries,15
notice,15
ram,15
wayland,15
replace,15
allow,15
environment,15
matter,15
gave,15
parameters,15
mine,15
turns,15
allows,15
res,15
corner,15
car,15
choose,15
incompatible,15
aside,15
especially,15
home,15
usually,15
initially,15
medium,15
e,15
fog,15
bar,14
older,14
font,14
apart,14
quick,14
turned,14
natively,14
output,14
neither,14
js,14
arguments,14
configure,14
free,14
overall,14
remove,14
pops,14
address,14
ui,14
caused,14
saved,14
instantly,14
quickly,14
uses,14
page,14
exiting,14
fault,14
artifacts,14
sp,14
intended,14
dont,14
esc,14
speed,14
dialog,14
cards,14
de,14
per,14
amd,14
attempt,14
poor,14
spinning,14
hear,13
example,13
gamma,13
totally,13
showed,13
integrated,13
seemingly,13
actual,13
stuff,13
ultra,13
wait,13
cd,13
annoying,13
looking,13
stays,13
connect,13
hd,13
gone,13
comes,13
called,13
likely,13
check,13
adjusting,13
happened,13
frozen,13
recommended,13
real,13
reported,13
fov,13
scenes,13
world,13
libraries,13
name,13
difference,13
extract,13
switched,13
three,13
located,13
profile,13
people,13
eventually,13
leave,13
lines,13
installs,13
constantly,13
path,13
downloaded,13
limiter,13
silent,13
license,13
http,12
newer,12
leaving,12
luck,12
machine,12
plasma,12
min,12
standard,12
frequently,12
saves,12
come,12
quake,12
definitely,12
within,12
easily,12
noted,12
rendered,12
overrun,12
cap,12
err,12
matching,12
glitchy,12
tell,12
pc,12
runtime,12
forcing,12
inputs,12
took,12
build,12
skybox,12
sort,12
terrain,12
increase,12
unfortunately,12
yes,12
water,12
inside,12
journey,12
slowdowns,12
cracked,12
invisible,11
basically,11
displayed,11
mesa,11
app,11
automatically,11
slight,11
selecting,11
dual,11
task,11
faster,11
recent,11
creating,11
opened,11
location,11
aware,11
applied,11
demo,11
status,11
instructions,11
binaries,11
feels,11
number,11
gray,11
earlier,11
list,11
avoid,11
progress,11
finish,11
forced,11
later,11
detect,11
skip,11
emulate,11
correct,11
tabbing,11
exe,11
selection,11
primusrun,11
constant,11
trouble,11
giving,11
ini,11
seta,11
iv,11
delete,11
dlc,11
minimum,11
grey,11
code,11
locked,11
não,11
refuses,11
cp,11
rockstar,11
entry,10
becomes,10
zombies,10
program,10
light,10
parts,10
picture,10
various,10
post,10
ctd,10
read,10
image,10
renders,10
rare,10
based,10
blurry,10
values,10
glquake,10
third,10
ii,10
lutris,10
whenever,10
focus,10
fun,10
wise,10
dips,10
hud,10
extremely,10
froze,10
continue,10
shaders,10
xinput,10
corefonts,10
suggested,10
place,10
battles,10
minute,10
nearly,10
performs,10
frequent,10
blank,10
username,10
que,10
taskset,10
choppy,10
prompts,10
currently,10
antialiasing,10
winehq,9
occurs,9
valve,9
last,9
complete,9
attempted,9
resolve,9
stopped,9
shader,9
perfeitamente,9
rest,9
managed,9
logo,9
gameaction,9
actionid,9
launchapp,9
amazing,9
age,9
crackling,9
restarted,9
regular,9
editing,9
closing,9
tends,9
drive,9
